frequency_hz,0.10_uF_ohm,0.47_uF_ohm,1.00_uF_ohm,4.00_uF_ohm
1716.3538671604488,927.2849874096185,197.29451966793974,92.72827860919767,23.18177470655765
1759.551711992703,904.5196854190715,192.4508344040598,90.45174286978819,22.612633348466506
1803.8367765608514,882.313282406478,187.72606371593622,88.23109688873267,22.05746424313819
1849.2364244233893,860.6520571271309,183.1172881872744,86.0649685380509,21.515924353875956
1895.7787078352344,839.5226251993887,178.62166007470918,83.95201937598102,20.987679065419336
1943.492385081083,818.9119308345299,174.23640154819702,81.89094381996243,20.472401977186912
1992.4069382450525,798.807238769627,169.95880297460522,79.8804683399212,19.969774701594595
2042.552591427521,779.196126398487,165.786221243442,77.91935067136171,19.479486667325418
2093.960329420493,760.0664760957679,161.71607813368806,76.00637904777588,19.00123492742865
2146.6619168529564,741.4064677295547,157.745858720726,74.14037145189822,18.53472397213027
2200.689917818132,723.2045713577425,153.8731098223772,72.32017488534183,18.079665546238562
2256.0777159946765,705.449540103738,150.0954384830921,70.5446646561658,17.635778471032587
2312.8595352743355,688.1304032070569,146.41051049535176,68.81274368393242,17.202788470522858
2371.0704609087293,671.2364592445394,142.81604895737158,67.1233418218259,16.78042800197748
2430.7464611884,654.7572695179822,139.30983286621216,65.47541519541284,16.368436090608487
2491.9244096674547,638.6826516041135,135.88969574543162,63.86794555763697,15.96655816831673
2554.642107947598,623.0026730629111,132.55352430642807,62.299939659647926,15.57454591639518
2618.9383090355686,607.7076453003939,129.29925714264803,60.77042863707744,15.19215711209396
2684.85274128848,592.7881175820748,126.12488345585079,59.27846741138152,14.819155478951782
2752.4261329617893,578.234871193396,123.02844181364586,57.82313410588089,14.455310540801849
2821.7002373751397,564.0389137435167,120.00801893753048,56.40352947613659,14.100397479361444
2892.7178587115395,550.1914736089595,117.06174852068425,55.018776354311164,13.754196995317818
2965.5228784659166,536.6839945136543,114.18781007478442,53.66801910716969,13.416495172823883
3040.1602825592854,523.508130242055,111.38442780513502,52.3504231073881,13.08708334732067
3116.6761891353894,510.6557394820431,108.64986951340934,51.06517421783986,12.765757976604243
3195.1178770568854,498.11888079444986,105.98244552733289,49.811478288544464,12.45232051505793
3275.533815118782,485.88980770606815,103.38050765664107,48.58856066596513,12.146577290971736
3357.973691997083,473.9609639231436,100.84244817466978,47.39566571435384,11.848339386873485
3442.488446951242,462.32497866236827,98.36669882494725,46.23205634884678,11.557422522797435
3529.130301299292,450.9746620965068,95.95172985217529,45.0970135800231,11.273646942418553
3617.9527906852113,439.9030009118292,93.5960490569994,43.989836069643836,10.99683730198176
