frequency_hz,source_0.1_ohm_db,source_1_ohm_db,source_10_ohm_db,source_50_ohm_db
114.26936261728288,-5.820724002355008e-08,-2.596937676118244e-06,-0.00022745003241031036,-0.005611133646881143
117.14533725740105,-6.117407642695191e-08,-2.729304084917382e-06,-0.0002390428885391798,-0.005896940205901469
120.09369551760024,-6.429213191549774e-08,-2.8684172337852746e-06,-0.00025122660160584946,-0.006197294114851806
123.1162591762728,-6.756911435885053e-08,-3.014621003304333e-06,-0.00026403128422478387,-0.006512934739340985
126.2148958630204,-7.101312700095786e-08,-3.1682768017193646e-06,-0.0002774885834943169,-0.006844638909918302
129.39152021265426,-7.463268003198387e-08,-3.3297644627312934e-06,-0.0002916317591723037,-0.007193222808659883
132.64809504824044,-7.843672337544589e-08,-3.4994831799358246e-06,-0.00030649576582579335,-0.007559543949565255
135.98663259392032,-8.243465826014699e-08,-3.677852487550392e-06,-0.0003221173391692073,-0.007944503257221099
139.40919571825538,-8.663637193596805e-08,-3.865313305751663e-06,-0.0003385350868132688,-0.008349047248511023
142.91789920886478,-9.105224442416365e-08,-4.0623290371230885e-06,-0.00035578958359200466,-0.008774170322340255
146.5149110791443,-9.569319769806683e-08,-4.269386687211371e-06,-0.0003739234718039552,-0.009220917162486932
150.2024539078731,-1.0057069761174855e-07,-4.486998099838772e-06,-0.0003929815664887334,-0.0096903852590198
153.9828062125356,-1.0569680790236062e-07,-4.715701201095249e-06,-0.00041301096612051324,-0.010183727553952315
157.8583038572079,-1.1108419501177835e-07,-4.956061334942738e-06,-0.00043406116889565323,-0.010702155216926926
161.8313414958786,-1.1674618016028996e-07,-5.2086726586088595e-06,-0.0004561841949643565,-0.011246940557158153
165.90437405209624,-1.2269675574016975e-07,-5.474159618985369e-06,-0.000479434714868598,-0.01181942007798563
170.0799182358558,-1.2895063546071395e-07,-5.753178487851955e-06,-0.0005038701845132539,-0.012420997680717624
174.36055409866327,-1.3552327652778026e-07,-6.04641898967698e-06,-0.0005295509870225453,-0.01305314802473567
178.74892662773908,-1.424309249671877e-07,-6.354606001744455e-06,-0.0005565405817896612,-0.0137174200510383
183.24774738034515,-1.4969065901946246e-07,-6.678501344929648e-06,-0.0005849056611336313,-0.014415440676854034
187.85979615924455,-1.5732042481996504e-07,-7.018905676695437e-06,-0.0006147163149130467,-0.015148918669036622
192.58792273032986,-1.6533908075796536e-07,-7.3766604593084494e-06,-0.0006460462034974883,-0.015919648704495915
197.43504858348197,-1.7376644569302954e-07,-7.752650051491625e-06,-0.000678972739567132,-0.016729515626037254
202.40416873774709,-1.8262335681468264e-07,-8.147803875297032e-06,-0.0007135772791311379,-0.017580498902431466
207.49835359194628,-1.9193170821552298e-07,-8.563098736309828e-06,-0.0007499453222839031,-0.018474677301843663
212.7207508218618,-2.017145068222333e-07,-8.999561220037402e-06,-0.0007881667241268689,-0.019414233787974536
218.07458732517327,-2.1199593796986805e-07,-9.458270241630318e-06,-0.0008283359164583767,-0.020401460648809978
223.563171215345,-2.2280141458257582e-07,-9.940359710362292e-06,-0.0008705521407031908,-0.021438764867976464
229.18989386569504,-2.3415764853385606e-07,-1.044702132526322e-05,-0.0009149196926799448,-0.02252867374923608
234.95823200491049,-2.4609271429219804e-07,-1.0979507526013938e-05,-0.000961548179824401,-0.02367384080487661
240.87174986530408,-2.5863610870941313e-07,-1.1539134592352894e-05,-0.0010105527914549524,-0.024877051919148317
246.9341013851392,-2.7181884841774157e-07,-1.2127285895852662e-05,-0.0010620545827790913,-0.026141231798190195
253.14903246638264,-2.8567351033164084e-07,-1.2745415310817198e-05,-0.0011161807733380848,-0.02746945071826521
259.5203832892816,-3.0023435026010475e-07,-1.339505082094501e-05,-0.0011730650605577173,-0.028864931584405958
266.05209068519565,-3.155373578733712e-07,-1.4077798291864833e-05,-0.0012328479492827794,-0.030331057311891212
272.748190569149,-3.3162036277899263e-07,-1.4795345436545863e-05,-0.001295677097975906,-0.03187137854331891
279.61282043360535,-3.48523124204343e-07,-1.554946598419108e-05,-0.0013617076825311067,-0.03348962171417691
286.65022190500673,-3.6628742067913084e-07,-1.6342024082508906e-05,-0.0014311027785016714,-0.035189697480309735
293.86474336465756,-3.849571696120701e-07,-1.7174978889005196e-05,-0.0015040337627551374,-0.03697570952060419
